"age","lang","corpus","syl_comp","C_count","V_count","CP"
7.9,"Yélî","Yélî","Low",56,38,NA
9,"Yélî","Yélî","Low",56,38,NA
9.2,"Yélî","Yélî","Low",56,38,NA
12.6,"Yélî","Yélî","Low",56,38,NA
13.1,"Yélî","Yélî","Low",56,38,NA
13.7,"Yélî","Yélî","Low",56,38,NA
14.5,"Yélî","Yélî","Low",56,38,NA
15.1,"Yélî","Yélî","Low",56,38,NA
15.5,"Yélî","Yélî","Low",56,38,NA
16.2,"Yélî","Yélî","Low",56,38,NA
16.6,"Yélî","Yélî","Low",56,38,NA
20.2,"Yélî","Yélî","Low",56,38,NA
23.5,"Yélî","Yélî","Low",56,38,NA
26.1,"Yélî","Yélî","Low",56,38,NA
26.3,"Yélî","Yélî","Low",56,38,NA
27.6,"Yélî","Yélî","Low",56,38,NA
29.1,"Yélî","Yélî","Low",56,38,NA
32.5,"Yélî","Yélî","Low",56,38,NA
34.9,"Yélî","Yélî","Low",56,38,NA
37.6,"Yélî","Yélî","Low",56,38,NA
32.5333333333333,"Tsimane","Tsimane","Moderate",25,18,NA
31.7333333333333,"Tsimane","Tsimane","Moderate",25,18,NA
36.5333333333333,"Tsimane","Tsimane","Moderate",25,18,NA
39.0666666666667,"Tsimane","Tsimane","Moderate",25,18,NA
24.3666666666667,"Tsimane","Tsimane","Moderate",25,18,NA
30.5666666666667,"Tsimane","Tsimane","Moderate",25,18,NA
19.7333333333333,"Tsimane","Tsimane","Moderate",25,18,NA
37,"Tsimane","Tsimane","Moderate",25,18,NA
8.2,"Tsimane","Tsimane","Moderate",25,18,NA
15.4666666666667,"Tsimane","Tsimane","Moderate",25,18,NA
33.0333333333333,"Tsimane","Tsimane","Moderate",25,18,NA
30.8333333333333,"Tsimane","Tsimane","Moderate",25,18,NA
24.6333333333333,"Tsimane","Tsimane","Moderate",25,18,NA
20.0333333333333,"Tsimane","Tsimane","Moderate",25,18,NA
15.4333333333333,"Tsimane","Tsimane","Moderate",25,18,NA
18.3333333333333,"Tsimane","Tsimane","Moderate",25,18,NA
28.3333333333333,"Tsimane","Tsimane","Moderate",25,18,NA
21.7666666666667,"Tsimane","Tsimane","Moderate",25,18,NA
23,"Quechua","Cychosz","Moderate",26,5,"0.489028213166144"
14,"English","Seedlings","High",24,13,"0.265848670756646"
14,"English","Seedlings","High",24,13,"0.265848670756646"
22,"Quechua","Cychosz","Moderate",26,5,"0.322981366459627"
25,"Quechua","Cychosz","Moderate",26,5,"0.409448818897638"
13,"English","Seedlings","High",24,13,"0.229591836734694"
13,"English","Seedlings","High",24,13,"0.229591836734694"
7,"Tseltal","Tseltal","High",25,5,"0.118530884808013"
7,"English","Seedlings","High",24,13,"0.214442013129103"
32,"Tseltal","Tseltal","High",25,5,"0.48714069591528"
3,"English & Spanish","Warlaumont","High",24,13,"0.339622641509434"
10,"English","Seedlings","High",24,13,"0.185378590078329"
36,"Tseltal","Tseltal","High",25,5,"0.608399545970488"
3,"English & Spanish","Warlaumont","High",24,13,"0.117647058823529"
7,"English","Seedlings","High",24,13,"0.15512708150745"
7,"English","Seedlings","High",24,13,"0.15512708150745"
15,"English","Seedlings","High",24,13,"0.110831234256927"
9,"English","Seedlings","High",24,13,"0.270363951473137"
27,"Tseltal","Tseltal","High",25,5,"0.481216457960644"
4,"Tseltal","Tseltal","High",25,5,"0.216606498194946"
22,"Tseltal","Tseltal","High",25,5,"0.402234636871508"
14,"Tseltal","Tseltal","High",25,5,"0.278947368421053"
6,"Tseltal","Tseltal","High",25,5,"0.163385826771654"
3,"English & Spanish","Warlaumont","High",24,13,"0.303571428571429"
11,"Tseltal","Tseltal","High",25,5,"0.380434782608696"
23,"Quechua","Cychosz","Moderate",26,5,"0.489028213166144"
14,"English","Seedlings","High",24,13,"0.265848670756646"
22,"Quechua","Cychosz","Moderate",26,5,"0.322981366459627"
25,"Quechua","Cychosz","Moderate",26,5,"0.409448818897638"
13,"English","Seedlings","High",24,13,"0.229591836734694"
7,"Tseltal","Tseltal","High",25,5,"0.118530884808013"
7,"English","Seedlings","High",24,13,"0.214442013129103"
32,"Tseltal","Tseltal","High",25,5,"0.48714069591528"
3,"English & Spanish","Warlaumont","High",24,13,"0.339622641509434"
10,"English","Seedlings","High",24,13,"0.185378590078329"
36,"Tseltal","Tseltal","High",25,5,"0.608399545970488"
3,"English & Spanish","Warlaumont","High",24,13,"0.117647058823529"
7,"English","Seedlings","High",24,13,"0.15512708150745"
15,"English","Seedlings","High",24,13,"0.110831234256927"
9,"English","Seedlings","High",24,13,"0.270363951473137"
27,"Tseltal","Tseltal","High",25,5,"0.481216457960644"
4,"Tseltal","Tseltal","High",25,5,"0.216606498194946"
22,"Tseltal","Tseltal","High",25,5,"0.402234636871508"
14,"Tseltal","Tseltal","High",25,5,"0.278947368421053"
6,"Tseltal","Tseltal","High",25,5,"0.163385826771654"
3,"English & Spanish","Warlaumont","High",24,13,"0.303571428571429"
11,"Tseltal","Tseltal","High",25,5,"0.380434782608696"
